"open_dataset_id","dataset_name_title","agency","posting_frequency","description","status","plan_submission_date","nys_url","catalog_category","plan_submission_date_notes"
"1","Arts For Transit - Metropolitan Transportation Authority (MTA) Permanent Art Catalogue","HQ","As needed","Provides a catalog of the various artwork located at train and subway stations throughout the metropolitan area under the MTA's Permanent Art Program.","Published","Complete","https://data.ny.gov/d/4y8j-9pkd","11. Miscellaneous",
"2","E-ZPass Retailers Locations","B&T","As needed","Provides the locations of authorized businesses that can sell E-ZPass tags.","Published","Complete","https://data.ny.gov/d/y59h-w6v4","10. Assets / geographical information",
"3","Eye On The Future - Metropolitan Transportation Authority (MTA) Contract Solicitations","HQ","Quarterly","This dataset contains information for prospective contractors, engineers, architects, and vendors about contracts that are expected to be advertised for bids during specific time periods by the MTA's operating agencies.","Published","Complete","https://data.ny.gov/d/e3e7-qwer","11. Miscellaneous",
"4","Fare Card History for Metropolitan Transportation Authority (MTA): Beginning 2010","Subway,Bus","Weekly","Provides detailed data on subway and bus fares collected by both the MetroCard and OMNY systems, including number of MetroCard swipes made each week by customers entering each station of the New York City Subway, PATH, AirTrain JFK. and the Roosevelt Island Tram, broken out to show the usage of the various types of MetroCards.","Published - enhancements planned","Q4 2023","https://data.ny.gov/d/v7qc-gwpn","2. System usage","Dataset will likely be retired as the hourly ridership datasets are improved to contain this information. This is tentatively scheduled to occur in Q4 2023."
"5","Hourly Traffic on Metropolitan Transportation Authority (MTA) Bridges and Tunnels: Beginning 2010","B&T","Weekly","Reflects the number of vehicles (including cars, buses, trucks, and motorcycles) that pass through each of the bridges and tunnels operated by the MTA each hour of the day.","Published","Complete","https://data.ny.gov/d/qzve-kjga","2. System usage",
"6","Metropolitan Transportation Authority (MTA) Capital Dashboard Agencies Detail","C&D","Quarterly","Provides information about the projects in the MTA’s 2010-2014 and 2005–2009 Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes, and Schedules, organized at the agency level.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/kizb-nxtu","7. Capital program",
"7","Metropolitan Transportation Authority (MTA) Capital Dashboard Agencies Summary - All Load Dates","C&D","Quarterly","Provides information about the projects in the MTA’s 2010-2014 and 2005–2009 Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes, and Schedules.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/ehz8-ag3n","7. Capital program",
"8","Metropolitan Transportation Authority (MTA) Capital Dashboard Project Locations","C&D","Quarterly","Provides information about the projects in the MTA’s Capital Programs. The data describes the planned projects and provides information about the status of Project Budgets, Scopes and Schedules, as well as the geo-coordinates, where applicable, for Capital Projects.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/wcsa-vkhf","7. Capital program",
"9","Hourly Subway Ridership","Subway","Weekly","This dataset provides subway ridership, compiled at the hourly level, by station complex, split by OMNY and MetroCard payment methods. These ridership metrics may differ slightly, but are within 1% of ridership figures provided at public MTA board meetings. Data is released on a weekly cadence and is subject to revision. You can learn more about OMNY, the contactless fare payment system for public transportation in the New York region here.","Published - enhancements planned","Q3 2023","https://data.ny.gov/d/wujg-7c2s","2. System usage","Dataset successfully published in Q2 2023. Multiple enhancements planned in Q3 and Q4 of 2023."
"10","MTA Customer Feedback Data: Beginning 2014","Subway,Bus,AAR,LIRR,MNR,B&T","Quarterly","Contains information about areas of customer service and how that service was rated, based on public correspondence to the MTA about complaints or commendations in a variety of categories.","Published","Complete","https://data.ny.gov/d/tppa-s6t6","8. Customer Feedback and Surveys",
"11","MTA Wi-Fi Locations","Subway","Quarterly","Provides location data where Transit Wireless Wi-Fi access is available in the subway system.","Published","Complete","https://data.ny.gov/d/pwa9-tmie","10. Assets / geographical information",
"12","NYC Transit Subway Entrance And Exit Data","Subway","As needed","Provides a variety of information on subway station entrances and exits, including Division, Line, Station Name, Longitude and Latitude coordinates, and more.","Published - enhancements planned","Q4 2024","https://data.ny.gov/d/i9wp-a4ja","10. Assets / geographical information",
"13","Turnstile Usage Data: 2014","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/i55r-43gk","2. System usage",
"14","Turnstile Usage Data: 2015","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/ug6q-shqc","2. System usage",
"15","Turnstile Usage Data: 2016","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/ekwu-khcy","2. System usage",
"16","Turnstile Usage Data: 2017","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/v5y5-mwpb","2. System usage",
"17","Turnstile Usage Data: 2018","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/bjcb-yee3","2. System usage",
"18","Turnstile Usage Data: 2019","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/xfn5-qji9","2. System usage",
"19","Turnstile Usage Data: 2020","Subway","Static - Not Updated","Contains information on subway entry/exit register values for individual control areas in the year 2014.","Published","Complete","https://data.ny.gov/d/py8k-a8wg","2. System usage",
